repository_name,owner_username,stars,repository_url
tensorflow,tensorflow,183000,https://github.com/tensorflow/tensorflow
transformers,huggingface,127000,https://github.com/huggingface/transformers
pytorch,pytorch,79400,https://github.com/pytorch/pytorch
netdata,netdata,68800,https://github.com/netdata/netdata
ML-For-Beginners,microsoft,67700,https://github.com/microsoft/ML-For-Beginners
cs-video-courses,Developer-Y,65600,https://github.com/Developer-Y/cs-video-courses
keras,keras-team,61200,https://github.com/keras-team/keras
tesseract,tesseract-ocr,59000,https://github.com/tesseract-ocr/tesseract
scikit-learn,scikit-learn,58600,https://github.com/scikit-learn/scikit-learn
d2l-zh,d2l-ai,58000,https://github.com/d2l-ai/d2l-zh
awesome-scalability,binhnguyennus,55900,https://github.com/binhnguyennus/awesome-scalability
face_recognition,ageitgey,52200,https://github.com/ageitgey/face_recognition
annotated_deep_learning_paper_implementations,labmlai,49700,https://github.com/labmlai/annotated_deep_learning_paper_implementations
faceswap,deepfakes,49700,https://github.com/deepfakes/faceswap
yolov5,ultralytics,48000,https://github.com/ultralytics/yolov5
DeepFaceLab,iperov,46000,https://github.com/iperov/DeepFaceLab
julia,JuliaLang,44800,https://github.com/JuliaLang/julia
100-Days-Of-ML-Code,Avik-Jain,43800,https://github.com/Avik-Jain/100-Days-Of-ML-Code
TensorFlow-Examples,aymericdamien,43300,https://github.com/aymericdamien/TensorFlow-Examples
Open-Assistant,LAION-AI,36800,https://github.com/LAION-AI/Open-Assistant
